method,silhouette,nmi,ari,purity,n_clusters
HARD_FUSED_BetaVAE(β=1.0)+KMeans,0.0036708733532577753,0.27001696987932744,0.17792140312024904,0.37037037037037035,10
HARD_FUSED_BetaVAE(β=4.0)+KMeans,0.03510487452149391,0.23223096709553792,0.12742855339977946,0.34634634634634637,10
BASE_DirectSpectralStats+KMeans,0.06565692275762558,0.20379857124827494,0.11551187784111108,0.3123123123123123,10
BASE_PCA(32)+KMeans on spectral stats,-0.009375417605042458,0.1931549555338683,0.10092761817389641,0.32432432432432434,10
BASE_AE(audio_z)+KMeans,0.04865396022796631,0.17596251284792183,0.10503821570205682,0.3103103103103103,10
HARD_FUSED_BetaVAE(β=8.0)+KMeans,-0.059724438935518265,0.1215015513723464,0.058675025933533166,0.23823823823823823,10
